away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
E. Rodriguez1B,3,0,0,0,0,1,1,.000,.250,.000,aD. MyersPH-RF,2,0,0,0,0,0,0,.250,.250,.250
A. Frazier2B,3,0,1,1,0,0,1,.333,.400,.333,L. HicksC,3,0,0,0,0,1,0,.000,.250,.000
I. Kiner-FalefaSS,4,0,1,0,0,0,0,.167,.375,.167,D. HillCF,3,1,1,0,0,0,2,.333,.429,.500
team,33,4,7,4,1,5,6,,,,G. Pauley3B,2,0,1,1,0,0,0,.333,.333,.500
,,,,,,,,,,,bE. WagamanPH-3B,1,0,0,0,0,0,1,.000,.000,.000
,,,,,,,,,,,team,31,3,7,3,1,3,7,,,
J. DuranLF,4,0,2,0,0,0,0,.375,.375,.375,M. Semien2B,4,0,0,0,0,0,0,.125,.125,.125
R. DeversDH,4,0,0,0,0,0,4,.000,.000,.000,C. SeagerSS,4,0,1,0,0,0,1,.125,.125,.125
A. Bregman3B,4,0,1,0,0,0,1,.125,.125,.125,W. LangfordLF,4,0,1,0,0,0,0,.286,.375,.286
T. Casas1B,4,0,0,0,0,0,1,.000,.000,.000,J. PedersonDH,3,1,1,0,0,0,0,.250,.250,.250
T. StorySS,4,1,1,0,0,0,0,.143,.250,.143,aK. PillarPH-DH,1,0,0,0,0,0,0,.500,.500,.500
K. Campbell2B,4,0,2,0,0,0,1,.429,.500,.429,A. GarcíaRF,2,0,0,0,0,2,0,.000,.250,.000
W. AbreuRF,3,0,2,1,0,1,0,.833,.875,1.833,J. Burger1B,3,1,1,1,0,0,1,.167,.286,.333
